@relation query4

@attribute script_run_id string
@attribute script_run_dir string
@attribute length {80,100,200}
@attribute similarity {40,65,80}
@attribute word_length {10,12,16}
@attribute fixed_length {1}
@attribute duration numeric
@attribute total_fasta_length numeric
@attribute total_read numeric
@attribute total_written numeric
@attribute total_written/total_fasta_length numeric
@attribute total_genomes {10,20,30,40}

@data
'allvsall-run002-4052652543','/dcap1/mluiza/gecko/peerj/20genomas',80,40,16,1,32.5720000267,73285237,119809657315,13630970140,185,20
'allvsall-run003-3839313457','/dcap1/mluiza/gecko/peerj/20genomas',80,40,16,1,29.9750001431,73285237,119809657315,13630970140,185,20
'allvsall-run001-1175071054','/dcap1/mluiza/gecko/peerj/30genomas',80,40,16,1,77.0290000439,113556442,277174221948,21699099537,191,30
'allvsall-run002-831652980','/dcap1/mluiza/gecko/peerj/30genomas',80,40,16,1,87.0380001068,113556442,277174221948,21699099537,191,30
'allvsall-run003-764376096','/dcap1/mluiza/gecko/peerj/30genomas',80,40,16,1,80.5699999332,113556442,277174221948,21699099537,191,30
'allvsall-run001-663672168','/dcap1/mluiza/gecko/peerj/40genomas',80,40,16,1,226.3369998932,149261021,485411280136,30109115338,201,40
'allvsall-run002-3252697546','/dcap1/mluiza/gecko/peerj/40genomas',80,40,16,1,251.5900001526,149261021,485411280136,30109115338,201,40
'allvsall-run003-3133030888','/dcap1/mluiza/gecko/peerj/40genomas',80,40,16,1,249.6199998856,149261021,485411280136,30109115338,201,40
'allvsall-run001-2975983522','/dcap1/mluiza/gecko/peerj/10genomas',80,65,10,1,731.7720000744,41519077,274137315925,247479181560,5960,10
'allvsall-run002-1194695860','/dcap1/mluiza/gecko/peerj/10genomas',80,65,10,1,663.6319999695,41519077,274137315925,247479181560,5960,10
'allvsall-run003-388266051','/dcap1/mluiza/gecko/peerj/10genomas',80,65,10,1,656.4769999981,41519077,274137315925,247479181560,5960,10
'allvsall-run001-3401784999','/dcap1/mluiza/gecko/peerj/20genomas',80,65,10,1,2321.3179998398,73285237,1020218383405,914037796913,12472,20
'allvsall-run002-1361891993','/dcap1/mluiza/gecko/peerj/20genomas',80,65,10,1,2401.9249999523,73285237,1020218383405,914037796913,12472,20
'allvsall-run003-1951196874','/dcap1/mluiza/gecko/peerj/20genomas',80,65,10,1,2584.1649999619,73285237,1020218383405,914037796913,12472,20
'allvsall-run001-813277827','/dcap1/mluiza/gecko/peerj/30genomas',80,65,10,1,12563.6119999886,113556442,2517368865414,2261890162925,19918,30
'allvsall-run002-1936800896','/dcap1/mluiza/gecko/peerj/30genomas',80,65,10,1,12589.868999958,113556442,2517368865414,2261890162925,19918,30
'allvsall-run003-12187429','/dcap1/mluiza/gecko/peerj/30genomas',80,65,10,1,11173.5369999409,113556442,2517368865414,2261890162925,19918,30
'allvsall-run001-2112243809','/dcap1/mluiza/gecko/peerj/40genomas',80,65,10,1,28940.7870001793,149261021,4398838366950,3943528036781,26420,40
'allvsall-run001-3633230109','/dcap1/mluiza/gecko/peerj/40genomas',80,65,10,1,29498.0850000381,149261021,4398838366950,3943528036781,26420,40
'allvsall-run002-1896470177','/dcap1/mluiza/gecko/peerj/40genomas',80,65,10,1,28469.4279999733,149261021,4398838366950,3943528036781,26420,40
'allvsall-run001-3259014846','/dcap1/mluiza/gecko/peerj/10genomas',80,65,12,1,157.7520000935,41519077,51829266132,25171096872,606,10
'allvsall-run002-3604248081','/dcap1/mluiza/gecko/peerj/10genomas',80,65,12,1,158.3129999638,41519077,51829266132,25171096872,606,10
'allvsall-run003-1216676517','/dcap1/mluiza/gecko/peerj/10genomas',80,65,12,1,159.6370000839,41519077,51829266132,25171096872,606,10
'allvsall-run001-4061830751','/dcap1/mluiza/gecko/peerj/20genomas',80,65,12,1,201.4149999619,73285237,188389508674,82208771077,1121,20
'allvsall-run001-534643618','/dcap1/mluiza/gecko/peerj/20genomas',80,65,12,1,215.0280001163,73285237,188389508674,82208771077,1121,20
'allvsall-run003-2820677751','/dcap1/mluiza/gecko/peerj/20genomas',80,65,12,1,192.2319998741,73285237,188389508674,82208771077,1121,20
'allvsall-run001-524524890','/dcap1/mluiza/gecko/peerj/30genomas',80,65,12,1,315.753000021,113556442,447953520555,192474477220,1694,30
'allvsall-run002-3574391912','/dcap1/mluiza/gecko/peerj/30genomas',80,65,12,1,265.1679999828,113556442,447953520555,192474477220,1694,30
'allvsall-run003-1211395475','/dcap1/mluiza/gecko/peerj/30genomas',80,65,12,1,265.736000061,113556442,447953520555,192474477220,1694,30
'allvsall-run001-2478620645','/dcap1/mluiza/gecko/peerj/40genomas',80,65,12,1,651.7039999962,149261021,787570249745,332259300457,2226,40
'allvsall-run002-2886117471','/dcap1/mluiza/gecko/peerj/40genomas',80,65,12,1,458.1809999943,149261021,787570249745,332259300457,2226,40
'allvsall-run003-27454368','/dcap1/mluiza/gecko/peerj/40genomas',80,65,12,1,456.256000042,149261021,787570249745,332259300457,2226,40
'allvsall-run001-821468777','/dcap1/mluiza/gecko/peerj/10genomas',80,65,16,1,20.6029999256,41519077,34212310243,7554102254,181,10
